Heading,Review
This is the best product out there at this price point,This is the best product out there at this price point.Camera selfie and main are very very good. Zooming makes images and video grainy. But its unfair to compare this phone with Apple samsung  etc.Audio loud speakers are loud but i rarely use them to listen to songs.UI is quick thanks to snapdragon processor and 6 gb ram.Video playback is clear. No lags. youtube does not utilize the full width of screen. Perhaps app update from youtube is awaited.Yet to check out phone performance with heavy graphics games.Dual sim works flawlessly. No issues with basic phone functionality bluetooth wifi.But only flip side of this slim good looking phone is vibration effect which is less.Face id and fingerprint security is extremely fast
Superb,An exclusive edition of the one plus 5T. No difference in terms of specs with the original 5T. A phone for the star wars fans. The white with the red star wars branding is brilliant and so is the kylo ren themed cover which is quite sturdy even though it wont lay flat on a surface. It comes pre loaded with star wars theme as well as wallpapers both of which will probably come to play store from third party ppl soon.A good buy since it costs only 1k more than the original 128GB  5T. Go for it if u r a true star wars fan or prefer a phone which does not look the generic black as most phones do nowadays.
Good phone,There is a lot of scope for  the improvement of daylight photos and portrait mode.However the overall performance of phone is exceptionally goodRating-Camera 7/10Battery life 9/10Processing speed 10/10Display 7/10Software 8/10Dash charging 10/10Audio quality 9/10Value for money 8/10
Move away Samsung n Apple..here comes one plus.. best phone in market,Completely satisfied.. an ardent Samsung user with great regret I compromised myself to buy dis phone instead of the Samsung s8+.. but after a weeks usage im glad I saved that xtra 20k bucks.. move away Samsung n Apple.. Here is oneplus .. a flagship in the making.. people considering of the Samsung s8 stuff pls think twice dis phone s worth ur valuable money xcept a few misses here n there u ll love dis phone..
Great value for money,The phone is awesome. Its very fast and no heating issues. Face recognition works really well and battery lasts for more than a day for my usage.
Three Stars,this phone had created more expectations while reading specs but not in real working conditions
The best you can buy at such a price.,"Awesome smartphone at a good price....My review after using the phone for 20 daysProsAwesome camera ,specially lowlightBattery life is very good....i am a heavy user and still the phone manages to pass a day with ease and survives till the next morning.......No lags no hangs 8 gb ram is what makes the phone works smoothly even tough if u have a ton of apps open.Touch is very responsive.Charging is very very fastCons-Speakers on the bottom....sometimes they get blocked by the hand or surface while using the phone.Back built quality is not up to the mark......altough ive been very cautious and careful,even have the back cover on the phone from day 1 still it has got minor scratches and its anntenna rubber thingh also has got a lot of scratches at the back even after heavy protection.Conclusion-This is a perfect smartphone for such a price.It has top notch features and does not fails to  amaze you with its performance and features.You womt feel like keeping the phone away its soo amazing.If the above cons are not a big issue for you guys then go for this phone.At first i was going in for google pixel 2 xl then i thought to give this beast a try and i dont regret my descision at all."
Beast in performance...... Lovin it ONE PLUS 5T rocks,"Excellent product and a beast in performance....Upgraded from my Old Sony Xperia Z3+ dual  (3GB RAM) to this One plus 5T (8GB RAM), its just superfast and DASH charger OMG its a beast in charging the phone in 60 min which will last u a full day.128 GB internal no SD card required. Face recognition in also amazing and of course camera is a top notch in this price segment.AMOLED display is a treat when u have a 18:9 display....Sleek look make it a Sexy machine to use.No lag, no lapse = Best performance via Snapdragon 835 processor.and to end we have face recognition and fingerprint scanner which is fastest in flagship."
No doubt the best phone,"No doubt this the best phone anyone could buy in 2017 although it does my have a pure android like the Google phones or the Motorola phones the stock android has its own advantages. There are many gestures which are awesome and the finger print scanner is amazing it unlocks at lighting speed . If you are an android lover and stop looking here and there just go for it . Also the camera is good with he new oxygen update has enhanced the optical stabilisation by which I can take steady video even while moving . One of the best things is if u want any software enhancement u keep it in the o eplus forums inbuilt app and if they like your recommendation they would add that feature in the upcoming update .Overall this is ""THE BEST PHONE EVER"""
Practical and modern phone,"Lets start with cons.1. Software has few bugs that can annoy on day to day basis.. like auto-rotation, brightness is too low on auto mode, despite I own 8gb varient, buttons response like text or calls is slower than my friends iPhone, and Bluetooth sometimes suddenly disconnects from my audio device which didnt happen on my previous phones. (am sure all these can be fixed)2. Charge on the phone stays for almost a day.. am a student and as I am a heavy user.. most others may not feel so but with OnePlus we would expect it to last longer.3. Camera- portrait mode is a crap at most situation as far as I have used.. and Shutter lag comparing with flagships.. s8 and iPhone 10 were really fast at shutter..4. Some of might face trouble with the charger as the brick is huge.. check pictures for references.THESE ARE THE FEWEST OF THE NEGATIVES TO SPOT ON THE PHONE.. AND NONE OF THESE WOULD PROBABLY BOTHER OTHER... And most of these can be fixef with an upgrade.On to the PROS,1. Design is very practical. Wil easily last for longer time than an iPhone 10 , s8 and other flagships + its sleak, beselless and modern!2. Camera does wonders from slowmo to lapse and every other feature on the camera is brilliant including low light photos... Sharp and clear.. a normal photo is very clear and perfect unlike the s8 which enhances contrast levels to keep the details..3. User friendly.. reason for me to buy this over a v30,.. many customisations possible, you wouldnt believe how user friendly this phone really is. It can do more than any other in the market and does not have unnecessary stuffs that could annoy us easily.. oxygen os on Android is the best for user interface.4. Dash charging . 1 and half hour from 0 to 100.. before this all my phone had charger next to bed and I slept and used the phone with charger..but with OnePlus 5t I havent had to worry about charging.. go for shower and by the time you are back it has more than half juice already!!!5.face unclocks even before you realise.. and same with finger print.. both make my life so much easier. As mentioned.. phone is 100% user friendly"
Best Android Phone its Price Segment,"Awesome phone, value for money. Stock Android experience. Oxygen OS brings in some good added features which does not come in the stock Android and are very useful in day today usage. Quick charge technology they use is unbeatable in all segments. There is only two thing to regret and that is, it comes only in one or two colour option. Special edition with different colour will launch after 3 months which is the disappointing factor for people who already bought the phone. Second point is every 6 months they launch a new model and obsolete the existing model. Android updates are very slow and it is not like the way they promised during their launch event"
Brilliant phone!,"Brilliant, moving from an iPhone 6s plus to the one plus 5t , moving to Android after quite abit and Im not disappointed one bit .A phone that gives the iPhone X stiff competition and costs less than half price makes so much more sense , especially in this day and age were technology gets redundant in no time and one feels the urge to change their phone every two years. This product is affordable luxury.Ive used it for more than 2 weeks now and I have no complaints .Brillaint cameraSurprisingly loud speaker for music and callsExcellent display may be not as good as the iPhone but Im not complaining after saving 60kBeautiful cameraDash charge is so so usefulHeadphone jack is a plusOreo update availableThe damage policy is reassuring some one whos cracked an expensive phone can relate, I have had friends whove gotten their damged one plus devices replaced at their door step with 24hoursIm totally sold. And really satisfied with my purchase"
Excellent phone,Excellent phone.. Amazing battery life. Superb built quality. Basic accessories like back cover and tempered glass already provided..is a big plus point. The OS is extremely fluid.. Camera is to be fallen in love with..Just that face unlock doesnt work in dark. Needs improvement.. Otherwise is extremely quick in 99% of the cases..OnePlus should come out with no cost emi option for 9 or 12 months also apart from the current 3 months.. This would enable everyone to get access to it.
Super se Uper,"Its simply best phone in this budget, face unlock is super se uper, you hardly need to use fingerprint scanner. Overall experience is too fluid, camera is best. Depth effect feels artificial sometime, else works great. Charging is supery fast, it took harcly hour to full charge it. Case bundled is cool and good gesture by One Plus.One star less coz no oreo update, nor promised exact date when it will come."
Good option I made to switch from an iPhone.,"This phone is really a good choice that stands out in performance with the given price point. Moreover I have been an iPhone user for last 8 years and this phone did not give me any hard time in deciding to switch to Android. Also the performance is very good to meet iphones standard of performance or looks. My Android auto works well, my Google chrome cast integrates well, and there are really few more advantages that I am enjoying day to day. Battery level is really really great. I would always carry my charging cable when I had iPhone 6s and now this stands easily for more than a day with even extensive usage. And charging time is from 10-100% happens in 1hr or 1hr 10mins. In overall I love this phone"
Five Stars,
Awesome phone. I love this phone but the delivery ...,"Awesome phone.I love this phone but the delivery is irritating.Pros:Good rear cameraAwesome displaySuper performance and speedOne of the fastest face detection, fingerprintSuper fast chargingCons:Worst delivery... received the package which is damaged. chances that phone may also get damaged. Impolite serviceFront camera is ok but not great"
Fabulous phone no issue,"This phone is so brilliant that it did not have single cons. I had replace this with my iphone and after that I am very happy. Much much better and advance than iphone. Superb camera, speed, muti tasking, Android edge, screen, light weight and many more. A perfect value for money phone."
Beauty and Beast,Bought 8/128 on prime sale. Unboxing and feeling the phone is awesome. Premium look and finesse.Performance.!!.it simply wows you every time you open the device.Facelock has some issues in my phone..maybe updates will fix...but I prefer fingerlock.. superfast.Camera .. great pics in low light..and awesome Colors.Dashcharge... nothing can beat this..Above all value for your money. (Same features iPhone cost you one lac).A powerful beautiful premium beast in your hand.No second thought to buy the upcoming any OnePlus device.
Excellent phone for 33k,"So the phone is awesome. There are other reviews with technical details, so will skip that bit.I bought the 6/64gb option. It works great and dont feel the need for the more expensive 8/128.The look and feel of the phone is good, feels premium and has full screen available which is great. For the same size as 1plus3 I get more screen.Fingerprint scanner is at the back, takes a little time to get used to.The OS is slick and light weight and is a breeze to operate.Camera is much improved although the selfie could have been better. Its not the best camera but much better than previous versions.Charger has become very bulky and is huge.Other than that, the phone is superb and probably the best value for money at this price.I am still trying to figure how to open the kotak account to get the 1yr insurance free."
Go for it.. excellent product.,"This is my first OP product. In simple words Impressed. Face ID was initially detecting with even closed eyes , but the issue got resolved on software updation..Pros are many .. lightning fast,excellent display,no heating at all,good call clarity,finger print scanner is at perfect place,speaker clarity and volume the best I have experienced.camera is performing the job well.. face ID works even at low lights..Battery lasts for a day average.."
Awsome phone!!!!!???,"MY REVIEW AFTER USING THE PHONE FOR MORE THAN 3 WEEKS.Very happy with the purchase till now everything works fine as promised.The best part about the phone is the dash charging... I never really mind charging every now and then because the battery lasts for the whole day on normal usage and even if charge gets over it only takes half an hour to charge it back up to a decent percentage so i dont worry about charging a lot.Camera also works great. Not the very best but definitely works alright for me. Portrait mode works very well. But i do notice a lot of noice in low light condition. I dont know if its a normal thing in phones but i did notice that so just saying it as it is.And the performance is... how do i put it ""extremely good"". Apps load faster than the speed of light?. Software experience is also awsome. I used to use nova launcher prime on my previous device and had planned to use the same on my op5t but oxygenOS was good enough for me so i sticked to that instead.I do notice a few software glitches here and there though for e.g. swiping down from the top of the screen for notification bar is a hit or miss most of the time. Swiping down does not always gets me to the notification bar . So i do struggle with it at times. Also while typing on gboard sometimes i accidentally tap on multitasking button so it breaks my consistency during typing. This never happened before in my previous phone, maybe its my bad ,but thats that.But these problems would probably get fixed in the future updates and it doesnt bug me that much anyways so its not a big deal .Overall I would like to say that this is definitely an awsome phone for the price range. But if water resistance and 4k screens are a priority for you then i would suggest to spend some more cash for better phones. LG v30+ is a good bet i think and apparently pixel 2 phones are also available at 49k now.So if you think you could spend that much, then go for these phones instead but for 33k i can surely say that one plus5t wont disappoint you. ?"
"A clean and Powerful phone, which wont let you down","After using multiple Redmi Phones, I decided to get flagship experience. I really liked the performance and in extreme conditions the phone showed its awesomeness.Even it has a lot of positive reviews all over the YouTube but I will try to give you some cons which I thought that you should know before buying this phone.The first thing is the camera which should have a Lil better. The camera has very real dynamic colours as well as it performs really well in auto HDR but in low light conditions, the details are lost.Oneplus has improved camera performance after recent update and they are continuing the effort to make it more like a true flagship performer.Using it in reading mode gives me pleasure because the amoled screen looks brilliant in black and white and it gives less stress on eyes also.Overall I would give a thumbs up to this phone and the present referral program program add Icing into the cake you could add use my coupons to get extended warranty I am enclosing it as a snapshot.On successful referral of both the codes you can earn up to 6 months Extended Warranty.Post the offer period, both the referrer and referee will receive a confirmation e-mail confirming the activation of the extended warranty as applicable by March 31, 2018.Coupon code for use on purchase of OnePlus 5T (Midnight Black 6GB RAM + 64GB memory): 65SD-B6LG4H-ZQHAU2Coupon code for use on purchase of OnePlus 5T (Midnight Black 8GB RAM + 128GB memory): FZ8Z-ARLN79-A3VG8R"
The Best phone in this price range..!!,"You might think 33K is a huge money,yes it is a huge amount for some but its totally worth it.We get a superb phone with a?Very decent display,the colors are vivid with its sAMOLED display?It has the snapdragon 835 inside.Its so fluid with the oxygen OS inside?The speaker is very loud?The charging speed is extremely fast.dash charging charges my phone in just 1 hour.?The highlight its camera.it dosent have the standard of iphone X, google pixel 2 or galaxy note 8 but for its price range it is awesome?On paper its just 3300 mah but it lasts me for a day easily?It looks superb in its 18:9 ratio display?Fingerprint sensor is lightning quick?Face recognition is scary fast.you have to use it to understand what I am saying aboutWe compare this phone with google pixel 2 and iphone X.The phones mentioned have double the price by paying double the price we just get a better display and a better camera thats it,so i recommend all to take this phone"
... Looks of the phone No water proofing Samsung pay like feature missing If u are more into beast performing ...,"ProsSpeedPerformanceDash chargingBattery lifeSmooth uiConsDisplay qualityCameraLooks of the phoneNo water proofingSamsung pay like feature missingIf u are more into beast performing phone,it is ur thing..but if u want premium camera or oled display quality, this one will dissappoint u..P.s- i bought op5t after using s8..so my review is onrelevance or comparison to my previous experience.."
This phone is one of the best available in the Indian Market,"This phone is one of the best available in the Indian Market. I exchanged my MotoG4 plus for this and got additional ?5,700/- off. And ?1500/- off the using my HDFC card. So cutting the long story short, I purchased this phone around ten days back at 25,800/- only. You get a protective scratch guard and a silicon back case with it. I have already ordered a sturdy case and a tempered glass for this, since the scratch guard will only protect it from scratches. No headphones provided. Dash Charger is a beast and fully charges your phone in an hour. Battery lasts me an entire day. The phone does not heat up while charging. Photo quality is excellent. Being a blogger, I always need good quality photographs for my blog. Loving the time lapse option for videos. However, the zoom quality is not upto the mark. Display is mind blowing. Face recognition technology is superb! I would say, for people having ?30,000/- as your budget, go for it. 64GB RAM and processor speed makes the experience smooth."
"Its been a month, Very good phone","Its been a month, I migrated from Redmi, One plus is really Amazing the only problem i do see is the camera lens is kept bulky so the lens may get scratches when you keep it on a table or a rough surfaceSuper fast face unlock, superfast fingerprint sensor, super camera effectsVery good phone, I am having 64 GBversion"
Camera not impressive for this cost,"`I got this phone in a box with  damaged corners but amazon delivery agent justifies that all boxes came in same wayLove this phone for its 6inches awesome display but  the camera is not much impressive ëven after the latest build, portrait mode is lagging for 2 secs after every clickCons:Default SMS app is not working to send messages if the contact number has country code associatedSelfie mode portrait is not available (I am not aware of this before ordering so want to let people know)Camera is poor in low light and only portrait photos looks impressivePortrait mode is lagging, you have to wait for 2 secs after every click , this happens in 5T only"
Five Stars,Awesome cameraAwesome speed
its just the greed for a latest beauty like 5t. Do not have a second thought,This is my 3rd one plus phone after 2 & 3.. i wasnt attracted to 5.. but 5t made me go for it.. even though the need of a new phone did not rise in me considering the one plus 3 i own(absolutely flawless).. its just the greed for a latest beauty like 5t.Do not have a second thought.. this phone is worth buying and has a life time using capability.. unless u get tempted for a new one..
Loved the phone being a techie and an IPhone fan,"Loved the phone being a techie and an IPhone fan, the reason why I considered one plus is because of the idea what they are about that is listening to the audience which others dont offer being closest to the stock android gives the stability with no lags which makes it a perfect companion for the daily use.>> Value for Money>> Best android phone in the market 2017>> star war edition worth spending 1000rs if you want that granite finish but if you prefer metal case than no it is not..>> Looks way better than the standard 5t>>Suggest to always go for 128GB edition though you do not need that space because more is always good"
Superb display Slim design Very good sound quality Superb camera Bokeh effect is really effective ...,Pros:Superb displaySlim designVery good sound qualitySuperb cameraBokeh effect is really effectiveSelfie is goodLow light photography is goodBattery is very good and charges very fastNever lagsVery smooth touchNice UICons:Only issue is with zooming of clicked photos. They blur out slightly.Final verdict :This is next to Apple iPhone X.
Superb Value for Money,"Using for almost a week now, love the phone and apart from minor issues, it is amazing value for money.Pros:1. Great battery life (easily lasts over a day with moderate use)2. Superb display3. Really good camera both front and back (I am not a camera expert, so cant give detailed feedback :))4. Finger print scanner and face unlock work great and really fast.5. Phone doesnt heat up even during charging and charges from 20 to 90 in about an hour.Cons:1. Seems to download whatsapp and other notifications even when data and wi-fi are off (seems to be a bug, which hopefully will be fixed soon)2. For people moving from a smaller size phone, the large screen might take time to get used to.3. Whatsapp LED notification doesnt work when we remove the sound & vibrate, and just keep LED light customization, had to reset whatsapp notification settings to make it work.4. LED notification light is not as strong as other phones and might take time to notice it.5. App notification counter is missing, hopefully they will add it in the next update.If your budget is around 30k, blindly go for it. If you can spare the extra 15-20k, then you can checkout the pixel 2. I saw the iphone X and it wasnt much better compared to the 5t, so total value for money when you compare how much the iphone X costs."
one plus 5T is the best return for money,"I was an iPhone user and those who are would know how difficult it is to switch to different brand.But comparing the specs and prices, one plus 5T is the best return for money.I went for the latest Lava Red one and it turned out great.Things I loved bezel less 6 inch  screen, I thought it would be bulky coming from smaller size phone, but bezel less does the trick.And if you are iPhone user and worried how would you transfer data, there is simple option to backup your data like pics, contacts on Google drive and can get it on your new one plus 5T easily.Things I liked :1. The face unlock works wonderfully which I was not expecting would work so well.2. Slimness of the phone3. Oxy os on top of Android4. There lot many features which you will adoreSo if are doubtful like me and been reviewing many phones to purchase from this is right choice, go for it."
Good clean Android OS,"The Force is strong with this One+.Good clean Android OS, decent hardware. Vivid display, back texture feels amazing, color accents and the Star Wars logo look great. The LE silicon case is nice and protects the phone but its too bulky, using it with the official sandstone case.Everything else is as expected, above average to awesome. Not really happy with the camera though, color reproduction is sometimes poor and depth effects is a hit or miss, with the images looking cropped using Photoshop or something. Low light shots are a bit of a let down too unfortunately.Having said all that, I love this device. Overall performance is A+ for 1+ 5t."
One plus Nailed it..,"I am very happy to actually buy this one finally. This phone is so worth spending money on. Believe me in this budget , no one else is providing this wide array of features along with build quality, brand value and most importantly trust. It has got superb screen, blazing fast face and fingerprint unlock, great camera, and  looks,  dash charge, latest android,  best customer care in India, and number of other cool things like free insurance, zomato gold membership etc..  that you realize only when you start using it. Its not the purpose of buying it, but you will get lots of attention due to it, many people have come to me asking ""which phone is this?"", ""Is the new iphone?"".The only sad thing for me is the news that they are coming up with oneplus 6 this march which i expect to be cooler than this one. So if you wanna believe the rumours then wait till March . Otherwise, this is best bet you have today.. Just go and buy this one."
Just blink and its done. Best hardware money can buy.,"Using for a week now and trust me its blistering fast, all other phones feel slow after using this.Camera:9/10Battery:9/10Dash charging: 10/10. Just 40 min to full charge and lasts for a day.Hardware : 8/10. Camera bump irritatesCase included : 6/10. Op could have included sandstone caseTyping on keyboard : 8/10Software: 8/10In hand feel: 10/10Low light and portrait mode: 8/10Talking about software, I fell there are some glitches but it can be fixed with future updates and OP has good track record of pushing new software updates.Best software Tweeks:1. Drag down anywhere on screen for notification tray2. Drag up anywhere on screen for piling up app grid3. Profile change switch to put in silent, general mode4. Camera and low light pictures.Got it damn cheap during sale after exchange and cashback. Thanks Amazon.My Verdict: Checkout for sale and cashback, try to get it below 28K."
T-for Terrific or Terrible? Review After 2 Months of Usage,"First of all Kudos to Amazon for the inside-2 days delivery. Flipkart are you listening?Now, since I am already reviewing this one quite late, lets jump to the hits and misses of the new ""Flagship Killer""Pluses -1. The Oxygen UI definitely. One Plus has bundled so many essential features with this UI, that its hard to ignore. Starting from the indispensable Reader Mode, Screen Calibration, Noise Cancellation during calls and many more2. Camera - Camera has been the USP of all One Plus devices. This ones no different. Cameras are good in daylight. Much hyped portrait mode works best on human subjects, looks artificial on the rest. Night photos are decent but noise is visible.3. There is absolutely no lag in the day to day tasks. 6 GB of RAM is more than enough in most cases. Games, Youtube, Browsing everything is smooth.4. Battery backup is good. 5-5.5 hrs of SOT is what can be expected on an average. My best SOT result was 6.1 hrs. Dash cahrging is a boon to say the least. Doesnt heat up the phone. Charges from 4-100 in 1h20 mins. Amazing5. NFC is really helpful. Gestures are another great feature. Three finger swipe, O to open the camera app etc are my favourite.6. Despite teh 18:9 display, a lot of apps do not support the feature. Barrring Hotstar, Voot, and other streaming apps I found this feature missing in most of the other apps.Minuses -1. Now there are many. To start off No Oreo out-of-the-box. Oreo was available by the time this product launched and I would have appreciated if it was included. It doesnt make a big difference since I love Nougat.2. I havent updated my phone. The reviews of the new OXygen Os 5.0.2 which is Oreo Build are disastrous. There are reports of Phone hanging, Battery discharge even on Standby, Camera irresponsiveness, among others.3. One of the biggest drawbacks and I was shocked when I found this out, was that there was no FM Radio. A basic feature, present even on 600 bucks features phone. But a 30K-plus phone omitted it. I hope such blunders from the ""Flagship Killer"" do not end up killing the company itself.4. Face Unlock is a hit and a miss. Works well in clear lighting. Doesnt work that well in artificial lighting and doesnt work at all in dimly lit conditions.5. The official cases cost a bomb. I like a fool ended up buying the Karbon fiber Bumper Case because there arent many good cases available in other platforms, and almost none available locally. Online paid reviews say the case provides excellent grip and blah-blah. Thats bullshit not only its slippery but is also a fingerprint and dust magnet. I am now back to using the Transparent TPU case.In conclusion, the OP 5T was a sure-shot recipe for success, bogged down by One Pluss own absurd cost-cutting techniques. I am deducting a point for the flaws I just stated. Otherwise, the best thing you can get for 33 K.Cheers!!!!!"
Good gadget in this price,"Excellent display, super loud sound speaker ( though not stereotype.. ) RAM management superb..! With good processor.. built quality and design. Front camera good with dual camera set up @ rare, portrait mode excellent..No radio.. little bit fuzzy sound with in/out phone call quality.."
