Heading,Review
This is the best product out there at this price point,This is the best product out there at this price point.Camera selfie and main are very very good. Zooming makes images and video grainy. But its unfair to compare this phone with Apple samsung  etc.Audio loud speakers are loud but i rarely use them to listen to songs.UI is quick thanks to snapdragon processor and 6 gb ram.Video playback is clear. No lags. youtube does not utilize the full width of screen. Perhaps app update from youtube is awaited.Yet to check out phone performance with heavy graphics games.Dual sim works flawlessly. No issues with basic phone functionality bluetooth wifi.But only flip side of this slim good looking phone is vibration effect which is less.Face id and fingerprint security is extremely fast
Superb,An exclusive edition of the one plus 5T. No difference in terms of specs with the original 5T. A phone for the star wars fans. The white with the red star wars branding is brilliant and so is the kylo ren themed cover which is quite sturdy even though it won't lay flat on a surface. It comes pre loaded with star wars theme as well as wallpapers both of which will probably come to play store from third party ppl soon.A good buy since it costs only 1k more than the original 128GB  5T. Go for it if u r a true star wars fan or prefer a phone which does not look the generic black as most phones do nowadays.
Good phone,There is a lot of scope for  the improvement of daylight photos and portrait mode.However the overall performance of phone is exceptionally goodRating-Camera 7/10Battery life 9/10Processing speed 10/10Display 7/10Software 8/10Dash charging 10/10Audio quality 9/10Value for money 8/10
Move away Samsung n Apple..here comes one plus.. best phone in market,Completely satisfied.. an ardent Samsung user with great regret I compromised myself to buy dis phone instead of the Samsung s8+.. but after a week's usage im glad I saved that xtra 20k bucks.. move away Samsung n Apple.. Here is oneplus .. a flagship in the making.. people considering of the Samsung s8 stuff pls think twice dis phone s worth ur valuable money xcept a few misses here n there u ll love dis phone..
Great value for money,The phone is awesome. It's very fast and no heating issues. Face recognition works really well and battery lasts for more than a day for my usage.
Three Stars,this phone had created more expectations while reading specs but not in real working conditions
The best you can buy at such a price.,"Awesome smartphone at a good price....My review after using the phone for 20 daysPros*Awesome camera ,specially lowlight*Battery life is very good....i am a heavy user and still the phone manages to pass a day with ease and survives till the next morning.......*No lags no hangs 8 gb ram is what makes the phone works smoothly even tough if u have a ton of apps open.Touch is very responsive.*Charging is very very fastCons-Speakers on the bottom....sometimes they get blocked by the hand or surface while using the phone.Back built quality is not up to the mark......altough ive been very cautious and careful,even have the back cover on the phone from day 1 still it has got minor scratches and its anntenna rubber thingh also has got a lot of scratches at the back even after heavy protection.Conclusion-This is a perfect smartphone for such a price.It has top notch features and does not fails to  amaze you with its performance and features.You womt feel like keeping the phone away its soo amazing.If the above cons are not a big issue for you guys then go for this phone.At first i was going in for google pixel 2 xl then i thought to give this beast a try and i dont regret my descision at all."
Beast in performance...... Lovin it ONE PLUS 5T rocks,"Excellent product and a beast in performance....Upgraded from my Old Sony Xperia Z3+ dual  (3GB RAM) to this One plus 5T (8GB RAM), its just superfast and DASH charger OMG its a beast in charging the phone in 60 min which will last u a full day.128 GB internal no SD card required. Face recognition in also amazing and of course camera is a top notch in this price segment.AMOLED display is a treat when u have a 18:9 display....Sleek look make it a Sexy machine to use.No lag, no lapse = Best performance via Snapdragon 835 processor.and to end we have face recognition and fingerprint scanner which is fastest in flagship."
No doubt the best phone,"No doubt this the best phone anyone could buy in 2017 although it does my have a pure android like the Google phones or the Motorola phones the stock android has its own advantages. There are many gestures which are awesome and the finger print scanner is amazing it unlocks at lighting speed . If you are an android lover and stop looking here and there just go for it . Also the camera is good with he new oxygen update has enhanced the optical stabilisation by which I can take steady video even while moving . One of the best things is if u want any software enhancement u keep it in the o eplus forums inbuilt app and if they like your recommendation they would add that feature in the upcoming update .Overall this is ""THE BEST PHONE EVER"""
Practical and modern phone,"Lets start with cons.1. Software has few bugs that can annoy on day to day basis.. like auto-rotation, brightness is too low on auto mode, despite I own 8gb varient, buttons response like text or calls is slower than my friend's iPhone, and Bluetooth sometimes suddenly disconnects from my audio device which didn't happen on my previous phones. (am sure all these can be fixed)2. Charge on the phone stays for almost a day.. am a student and as I am a heavy user.. most others may not feel so but with OnePlus we would expect it to last longer.3. Camera- portrait mode is a crap at most situation as far as I have used.. and Shutter lag comparing with flagships.. s8 and iPhone 10 were really fast at shutter..4. Some of might face trouble with the charger as the brick is huge.. check pictures for references.THESE ARE THE FEWEST OF THE NEGATIVES TO SPOT ON THE PHONE.. AND NONE OF THESE WOULD PROBABLY BOTHER OTHER... And most of these can be fixef with an upgrade.On to the PROS,1. Design is very practical. Wil easily last for longer time than an iPhone 10 , s8 and other flagships + it's sleak, beselless and modern!2. Camera does wonders from slowmo to lapse and every other feature on the camera is brilliant including low light photos... Sharp and clear.. a normal photo is very clear and perfect unlike the s8 which enhances contrast levels to keep the details..3. User friendly.. reason for me to buy this over a v30,.. many customisations possible, you wouldn't believe how user friendly this phone really is. It can do more than any other in the market and does not have unnecessary stuffs that could annoy us easily.. oxygen os on Android is the best for user interface.4. Dash charging . 1 and half hour from 0 to 100.. before this all my phone had charger next to bed and I slept and used the phone with charger..but with OnePlus 5t I haven't had to worry about charging.. go for shower and by the time you are back it has more than half juice already!!!5.face unclocks even before you realise.. and same with finger print.. both make my life so much easier. As mentioned.. phone is 100% user friendly"
Best Android Phone it's Price Segment,"Awesome phone, value for money. Stock Android experience. Oxygen OS brings in some good added features which does not come in the stock Android and are very useful in day today usage. Quick charge technology they use is unbeatable in all segments. There is only two thing to regret and that is, it comes only in one or two colour option. Special edition with different colour will launch after 3 months which is the disappointing factor for people who already bought the phone. Second point is every 6 months they launch a new model and obsolete the existing model. Android updates are very slow and it is not like the way they promised during their launch event"
Brilliant phone!,"Brilliant, moving from an iPhone 6s plus to the one plus 5t , moving to Android after quite abit and I'm not disappointed one bit .A phone that gives the iPhone X stiff competition and costs less than half price makes so much more sense , especially in this day and age were technology gets redundant in no time and one feels the urge to change their phone every two years. This product is affordable luxury.I've used it for more than 2 weeks now and I have no complaints .Brillaint cameraSurprisingly loud speaker for music and callsExcellent display may be not as good as the iPhone but I'm not complaining after saving 60kBeautiful cameraDash charge is so so usefulHeadphone jack is a plusOreo update availableThe damage policy is reassuring some one who's cracked an expensive phone can relate, I have had friends who've gotten their damged one plus devices replaced at their door step with 24hoursI'm totally sold. And really satisfied with my purchase"
Excellent phone,Excellent phone.. Amazing battery life. Superb built quality. Basic accessories like back cover and tempered glass already provided..is a big plus point. The OS is extremely fluid.. Camera is to be fallen in love with..Just that face unlock doesn't work in dark. Needs improvement.. Otherwise is extremely quick in 99% of the cases..OnePlus should come out with no cost emi option for 9 or 12 months also apart from the current 3 months.. This would enable everyone to get access to it.
Super se Uper,"It's simply best phone in this budget, face unlock is super se uper, you hardly need to use fingerprint scanner. Overall experience is too fluid, camera is best. Depth effect feels artificial sometime, else works great. Charging is supery fast, it took harcly hour to full charge it. Case bundled is cool and good gesture by One Plus.One star less coz no oreo update, nor promised exact date when it will come."
Good option I made to switch from an iPhone.,"This phone is really a good choice that stands out in performance with the given price point. Moreover I have been an iPhone user for last 8 years and this phone did not give me any hard time in deciding to switch to Android. Also the performance is very good to meet iphones standard of performance or looks. My Android auto works well, my Google chrome cast integrates well, and there are really few more advantages that I am enjoying day to day. Battery level is really really great. I would always carry my charging cable when I had iPhone 6s and now this stands easily for more than a day with even extensive usage. And charging time is from 10-100% happens in 1hr or 1hr 10mins. In overall I love this phone"
Five Stars,
Awesome phone. I love this phone but the delivery ...,"Awesome phone.I love this phone but the delivery is irritating.Pros:Good rear cameraAwesome displaySuper performance and speedOne of the fastest face detection, fingerprintSuper fast chargingCons:Worst delivery... received the package which is damaged. chances that phone may also get damaged. Impolite serviceFront camera is ok but not great"
Fabulous phone no issue,"This phone is so brilliant that it did not have single cons. I had replace this with my iphone and after that I am very happy. Much much better and advance than iphone. Superb camera, speed, muti tasking, Android edge, screen, light weight and many more. A perfect value for money phone."
Beauty and Beast,Bought 8/128 on prime sale. Unboxing and feeling the phone is awesome. Premium look and finesse.Performance.!!.it simply wows you every time you open the device.Facelock has some issues in my phone..maybe updates will fix...but I prefer fingerlock.. superfast.Camera .. great pics in low light..and awesome Colors.Dashcharge... nothing can beat this..Above all value for your money. (Same features iPhone cost you one lac).A powerful beautiful premium beast in your hand.No second thought to buy the upcoming any OnePlus device.
Excellent phone for 33k,"So the phone is awesome. There are other reviews with technical details, so will skip that bit.I bought the 6/64gb option. It works great and don't feel the need for the more expensive 8/128.The look and feel of the phone is good, feels premium and has full screen available which is great. For the same size as 1plus3 I get more screen.Fingerprint scanner is at the back, takes a little time to get used to.The OS is slick and light weight and is a breeze to operate.Camera is much improved although the selfie could have been better. It's not the best camera but much better than previous versions.Charger has become very bulky and is huge.Other than that, the phone is superb and probably the best value for money at this price.I am still trying to figure how to open the kotak account to get the 1yr insurance free."
Go for it.. excellent product.,"This is my first OP product. In simple words 'Impressed'. Face ID was initially detecting with even closed eyes , but the issue got resolved on software updation..Pros are many .. lightning fast,excellent display,no heating at all,good call clarity,finger print scanner is at perfect place,speaker clarity and volume the best I have experienced.camera is performing the job well.. face ID works even at low lights..Battery lasts for a day average.."
Awsome phone!!!!!???,"MY REVIEW AFTER USING THE PHONE FOR MORE THAN 3 WEEKS.Very happy with the purchase till now everything works fine as promised.The best part about the phone is the dash charging... I never really mind charging every now and then because the battery lasts for the whole day on normal usage and even if charge gets over it only takes half an hour to charge it back up to a decent percentage so i don't worry about charging a lot.Camera also works great. Not the very best but definitely works alright for me. Portrait mode works very well. But i do notice a lot of noice in low light condition. I don't know if its a normal thing in phones but i did notice that so just saying it as it is.And the performance is... how do i put it ""extremely good"". Apps load faster than the speed of light?. Software experience is also awsome. I used to use nova launcher prime on my previous device and had planned to use the same on my op5t but oxygenOS was good enough for me so i sticked to that instead.I do notice a few software glitches here and there though for e.g. swiping down from the top of the screen for notification bar is a hit or miss most of the time. Swiping down does not always gets me to the notification bar . So i do struggle with it at times. Also while typing on gboard sometimes i accidentally tap on multitasking button so it breaks my consistency during typing. This never happened before in my previous phone, maybe it's my bad ,but that's that.But these problems would probably get fixed in the future updates and it doesn't bug me that much anyways so it's not a big deal .Overall I would like to say that this is definitely an awsome phone for the price range. But if water resistance and 4k screens are a priority for you then i would suggest to spend some more cash for better phones. LG v30+ is a good bet i think and apparently pixel 2 phones are also available at 49k now.So if you think you could spend that much, then go for these phones instead but for 33k i can surely say that one plus5t won't disappoint you. ?"
"A clean and Powerful phone, which won't let you down","After using multiple Redmi Phones, I decided to get flagship experience. I really liked the performance and in extreme conditions the phone showed it's awesomeness.Even it has a lot of positive reviews all over the YouTube but I will try to give you some cons which I thought that you should know before buying this phone.The first thing is the camera which should have a Lil better. The camera has very real dynamic colours as well as it performs really well in auto HDR but in low light conditions, the details are lost.Oneplus has improved camera performance after recent update and they are continuing the effort to make it more like a true flagship performer.Using it in reading mode gives me pleasure because the amoled screen looks brilliant in black and white and it gives less stress on eyes also.Overall I would give a thumbs up to this phone and the present referral program program add Icing into the cake you could add use my coupons to get extended warranty I am enclosing it as a snapshot.On successful referral of both the codes you can earn up to 6 months Extended Warranty.Post the offer period, both the referrer and referee will receive a confirmation e-mail confirming the activation of the extended warranty as applicable by March 31, 2018.Coupon code for use on purchase of OnePlus 5T (Midnight Black 6GB RAM + 64GB memory): 65SD-B6LG4H-ZQHAU2Coupon code for use on purchase of OnePlus 5T (Midnight Black 8GB RAM + 128GB memory): FZ8Z-ARLN79-A3VG8R"
The Best phone in this price range..!!,"You might think 33K is a huge money,yes it is a huge amount for some but its totally worth it.We get a superb phone with a?Very decent display,the colors are vivid with its sAMOLED display?It has the snapdragon 835 inside.Its so fluid with the oxygen OS inside?The speaker is very loud?The charging speed is extremely fast.dash charging charges my phone in just 1 hour.?The highlight its camera.it dosent have the standard of iphone X, google pixel 2 or galaxy note 8 but for its price range it is awesome?On paper its just 3300 mah but it lasts me for a day easily?It looks superb in its 18:9 ratio display?Fingerprint sensor is lightning quick?Face recognition is scary fast.you have to use it to understand what I am saying aboutWe compare this phone with google pixel 2 and iphone X.The phones mentioned have double the price by paying double the price we just get a better display and a better camera thats it,so i recommend all to take this phone"
... Looks of the phone No water proofing Samsung pay like feature missing If u are more into beast performing ...,"ProsSpeedPerformanceDash chargingBattery lifeSmooth uiConsDisplay qualityCameraLooks of the phoneNo water proofingSamsung pay like feature missingIf u are more into beast performing phone,it is ur thing..but if u want premium camera or oled display quality, this one will dissappoint u..P.s- i bought op5t after using s8..so my review is onrelevance or comparison to my previous experience.."
This phone is one of the best available in the Indian Market,"This phone is one of the best available in the Indian Market. I exchanged my MotoG4 plus for this and got additional ?5,700/- off. And ?1500/- off the using my HDFC card. So cutting the long story short, I purchased this phone around ten days back at 25,800/- only. You get a protective scratch guard and a silicon back case with it. I have already ordered a sturdy case and a tempered glass for this, since the scratch guard will only protect it from scratches. No headphones provided. Dash Charger is a beast and fully charges your phone in an hour. Battery lasts me an entire day. The phone does not heat up while charging. Photo quality is excellent. Being a blogger, I always need good quality photographs for my blog. Loving the time lapse option for videos. However, the zoom quality is not upto the mark. Display is mind blowing. Face recognition technology is superb! I would say, for people having ?30,000/- as your budget, go for it. 64GB RAM and processor speed makes the experience smooth."
"Its been a month, Very good phone","Its been a month, I migrated from Redmi, One plus is really Amazing the only problem i do see is the camera lens is kept bulky so the lens may get scratches when you keep it on a table or a rough surfaceSuper fast face unlock, superfast fingerprint sensor, super camera effectsVery good phone, I am having 64 GBversion"
Camera not impressive for this cost,"`I got this phone in a box with  damaged corners but amazon delivery agent justifies that all boxes came in same wayLove this phone for its 6'inches awesome display but  the camera is not much impressive ëven after the latest build, portrait mode is lagging for 2 secs after every clickCons:Default SMS app is not working to send messages if the contact number has country code associatedSelfie mode portrait is not available (I am not aware of this before ordering so want to let people know)Camera is poor in low light and only portrait photos looks impressivePortrait mode is lagging, you have to wait for 2 secs after every click , this happens in 5T only"
Five Stars,Awesome cameraAwesome speed
its just the greed for a latest beauty like 5t. Do not have a second thought,This is my 3rd one plus phone after 2 & 3.. i wasn't attracted to 5.. but 5t made me go for it.. even though the need of a new phone did not rise in me considering the one plus 3 i own(absolutely flawless).. its just the greed for a latest beauty like 5t.Do not have a second thought.. this phone is worth buying and has a life time using capability.. unless u get tempted for a new one..
No other phone compares to the OnePlus,Ok..do this phone is so much better than the inflated iPhone for a fraction of the price.. perfect camera for this who love photography and the best part about it for me is the ability to click the picture by just touching the fingerprint sensor on the back.. a lot of thought has gone into the design of this phone and it's paying off
Worth the price,"I used a single camera phone before this. And i am pretty impressed with the dual camera performance.Phone works smoothly and most of the games i have played has been glitchless. With 128gb memory and gigantic 8gb ram it is a monster indeed. I won’t have to worry about storage space anymore. Yippee!!!18:9 screen is a bliss, watching movies or any media on it feels lifelike and bigger with respect to the phone size.Face unlock feature is great and work very well, I seldom use my fingerprint scanner to unlock. It is that good!! Unlocks in less than half a second. Actually as soon as i look at it.Got a silicone cover and screen guard pre-applied, kudos to that!! Thanks oneplus.And about the fast charging, I can’t stop getting amazed by the speed. (Actually found somewhere that fast charging affects your battery’s lifespan adversely) but who cares. It works like magic, and it is not a software tweet, you can tell by seeing at the charging brick, It is massive (yes, it really is).Only one downside for the package is , they don’t ship it with the Earphones. That is the only downside to the package. But overall it is a great great product.Camera 5/5Screen 4.5/5Look and feel 4/5Processing power 5/5"
"Its a ""Captain America"". Trust OnePlus and go for 5T(128 GB)  blindly","The best phone I have ever used. Its is a ""Captain America"". Too Fast, too Strong, too intelligent. Vexed with my past experiences, here are few things I'd like to share about OnePlus 5T -( 8GB RAM | 128 GB ).1. The feels a stronger than Motorola, Nokia. HTC, Blackberry, Sony, Mi, Apple, Oppo, Samsung - Its a classy looking rough and tough device.2. Connects with - Wifi, Bluetooth, 3G, 4G etc - faster than Blackberry.3. Processing speed - Needless to specify the speed of re-opening apps - Minimize an app, open it after 72 hours - App opens as if it was never closed. I've installed a thousand apps, opened, closed, reopened ans so on. It will never disappoint you. Thanks to SnapDragon 835 and 8GB RAM.4. Dash Charging and Battery - 90% in 60 min - 36 hours minimum in full charge on not-so extensive usage. No more worry of battery, And NO heating problem at all. Even if you operate it under sun.5. Display - The BEST6. Camera - 20+16 Main - 16 Front - Works as expected during day - Portrait mode feels great. I can observe grains on the screen and there's a focus problem in  low-light. Slightly, disappointed by its performance during night.7. Sound Speakers -5 Star ( and no heating problem)8. Fingerprint scanner - Unlocks within less than an eye-blink.- If you want a high-end phone, this phone is the highest you can get. That too at 37,999 /- .- If you are confused between Mi Mix2, Pixel 2, iPhone 8,X, Samsung S8, 5T etc. Go with OnePlus 5T blindly. This beast has a Dual-Sim facility and still have an audio jack, besides all the top  geatures."
This is the best phone in the market where you get so much ...,"This is the best phone in the market where you get so much of value at moderate price. The face unlock of OnePlus 5T is insane and works super fast. Pro Mode in Camera is also a plus point and control over the shutter speed, iso, white balance makes photography fun. The transparent rubber case that comes along with the phone is good and helps you prevent serious damage to your phone."
Excellent! Power button placed wring side for me but.,The phone is excellent. Picture quality and speed everything is excellent. But I have an issue with the placement of power button. It is exactly where I hold with my left hand and many times I invariably end up switching off the screen or shutting off the phone completely if I am not paying attention. I would have preferred it to be on the other side. I switched from iPhone 7 and loving it so far otherwise.
Probably the best android smartphone in 30K range,"I did some research and shortlisted 2-3 android models: Pixel2, Samsung s8, Oneplus 5TThe 1st two options were very good as well but i was more budget conscious and Oneplus 5T suited me well.Android Experience-very snappy performance, 6GB RAM-already received Oreo update- Very close to vanilla androidDisplay and build quality- Its a good 6"" screen , not as good as S8 or Pixel2 but decent- Slim phone no bezel- Fingerprint sensor on back and face recognition on front side(its super accurate and fast)Battery/Heating- No heating issue at all- Dash charging is very handy- Overall battery backup is decent (lasts for a day)Camera- Surprisingly very good- Pixel2 is best in the market but this one is not bad at all- day time pics are seriously good"
Amazing device.,"Amazing device..................writing this after using it for 1 month as i dint want to give false hopes in my excitement abt device.Pros-1)amazing battery-the main reason i choose this device-backup is excellent alhough i heavy use i have dash charge the crown of this device which charges it in just 30 minutes for a days power truly the sentance is perfect.-Days Power In Half an Hour""2)Amazing fast like a rocket....no lag till now,storage is enough...thank god i dint choose crap 7plus or 8plus phone.3)face unlock is superb...it works in low light like a boom....9out of 10 times works..only in no light room it strugles at night.4)finger print is quick and perfect.5)camera.low light perfomance is g8 but optical image zoon is blurring so i will cut my marks in it.CAMERA NEEDS IMPROOVEMENT.6)updates are quicker still waiting for oreo update7) screen is awsm full hd optical amoled works crisply..double tap on lock screen and boom u are in the menu by unlocking screen8)Amazon delivery(my 4th phone from them) is good but due to holiday the delivery person couldnt deliver on time but arrived in the city before date.no big issues.cons-1)THE PRICE-little less would be G8.NO Practical OFFERs2)Camera is not as good as note 8 or s8plus3)Service.Lets see hw things works ther heard very bad things.4)no IP68 water or dust resistants....At Last LOve This Device so much.....Thanks OnePLUS ANd Amazone"
Simply elegant and a wonderful device.,Simply elegant and a wonderful device...I don't see any cons in the phone looking at the price it is available inand thumbs up to ONEPLUS to sell it at the same price as oneplus 5
Worth it!,"It has been 3 days since I've been using this phone and until now, I've got no reason to complain. Pretty satisfied with the phone.Did some stress testing by running high end games such as injustice and asphalt side by side. Opened multiple apps, no lags or anything.Facial recognition is unbelievably fast, fingerprint is cool too.Battery life is awesome, lasts whole day easily even with high usage. Its my third day and I've plugged it into the charging once(although for short intervals I did plug this in my laptop). The dash charger is also pretty fast and charges your phone in a very short duration.So overall thumbs up."
"INSANE , POWERFUL, HANDSOME AND TRUE FLAGSHIP KILLER?","Incredible flagship killer ,ProaStunning displayCrazingly fastCamera is coolOs is attractive and silky smoothBuild quality superbFeel that phones is commendable super slim and light weightConsCamera not wide captures less scenario especially selfie cameraNot Oled displayNo free earphones with the boxNo separate sd card slot not even hybrid simConclusionInsane specs minimal or neglible cons... U will never regret buying thus"
Briefing about Pros and Cons,"It is indeed the best phone in this price bracket or what you call as a ""Flagship killer"".I've been using this since a month and would brief the pros and cons :Pros :1. Better display, you'll notice when you compare a normal image with anyone else's phone. Everything looks really good.2. Amazing camera. I'm sure you'll the camera. Don't depend upon portrait mode on low light though.3. Good speakers, the speakers are loud and smooth.4. FACE ID and Touch ID/Fingerprint is astonishingly fast AF.5. Great bandwith, I got better network signals in my place.6. Extremely FAST AF CHARGING.7. Comes with a headphone jack.Cons :1. Since the phone is a bit big, it might not be much handy for you.2. The midnight black material is way too slippery and catches fingerprints so better put on a cover.3. Battery is average .4. Oreo update hasn't come just yet.Hope I was able to clarify all the pros and cons I noticed."
